x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
567.0,295.0,631.0,440.0,0,0.5772579908370972,,person
1485.0,517.0,1568.0,692.0,0,0.5210058689117432,,person
1473.0,363.0,1545.0,518.0,0,0.49664145708084106,,person
1123.0,843.0,1212.0,1061.0,0,0.8013412356376648,,person
755.0,390.0,816.0,538.0,0,0.7542542815208435,,person
1828.0,618.0,1918.0,813.0,0,0.7194991111755371,,person
926.0,204.0,982.0,342.0,0,0.6793264150619507,,person
58.0,822.0,195.0,993.0,0,0.6698230504989624,,person
239.0,484.0,316.0,653.0,0,0.666720986366272,,person
674.0,560.0,745.0,735.0,0,0.6202009320259094,,person
708.0,191.0,759.0,332.0,0,0.5972819328308105,,person
1145.0,447.0,1215.0,583.0,0,0.5516579151153564,,person
566.0,298.0,631.0,439.0,0,0.5248741507530212,,person
1372.0,712.0,1452.0,880.0,0,0.49962759017944336,,person
89.0,126.0,142.0,245.0,0,0.4857528805732727,,person
1488.0,522.0,1573.0,691.0,0,0.4396815598011017,,person
755.0,385.0,816.0,535.0,0,0.7903116941452026,,person
1121.0,837.0,1210.0,1051.0,0,0.7827805280685425,,person
928.0,205.0,983.0,347.0,0,0.708101212978363,,person
1826.0,614.0,1917.0,807.0,0,0.6845455765724182,,person
59.0,823.0,194.0,995.0,0,0.6229336261749268,,person
238.0,487.0,314.0,656.0,0,0.6161920428276062,,person
1356.0,710.0,1447.0,883.0,0,0.5916308164596558,,person
707.0,190.0,758.0,332.0,0,0.582861602306366,,person
1144.0,444.0,1214.0,580.0,0,0.5621088743209839,,person
675.0,555.0,745.0,730.0,0,0.5121653079986572,,person
566.0,299.0,631.0,439.0,0,0.4681074321269989,,person
89.0,125.0,141.0,244.0,0,0.4434272050857544,,person
754.0,382.0,816.0,535.0,0,0.7937825918197632,,person
1119.0,833.0,1210.0,1043.0,0,0.7773160338401794,,person
1823.0,609.0,1916.0,796.0,0,0.6875293850898743,,person
238.0,490.0,313.0,665.0,0,0.6473139524459839,,person
60.0,823.0,191.0,997.0,0,0.6345444321632385,,person
675.0,550.0,748.0,729.0,0,0.592927873134613,,person
1354.0,710.0,1445.0,882.0,0,0.5909608602523804,,person
1490.0,527.0,1576.0,690.0,0,0.560421347618103,,person
928.0,205.0,982.0,346.0,0,0.5520400404930115,,person
89.0,125.0,140.0,244.0,0,0.4052768051624298,,person
753.0,378.0,816.0,532.0,0,0.7627959251403809,,person
1116.0,827.0,1207.0,1029.0,0,0.7241446375846863,,person
1324.0,711.0,1438.0,881.0,0,0.7063302993774414,,person
237.0,495.0,312.0,675.0,0,0.6825615167617798,,person
927.0,205.0,983.0,346.0,0,0.668498694896698,,person
674.0,546.0,748.0,727.0,0,0.6283697485923767,,person
1491.0,531.0,1576.0,700.0,0,0.6011669635772705,,person
63.0,824.0,190.0,998.0,0,0.5998892188072205,,person
1818.0,605.0,1913.0,790.0,0,0.5752955675125122,,person
703.0,188.0,758.0,326.0,0,0.41040778160095215,,person
1115.0,821.0,1208.0,1011.0,0,0.7499058246612549,,person
753.0,377.0,815.0,529.0,0,0.7367531061172485,,person
1318.0,709.0,1433.0,877.0,0,0.6841496825218201,,person
235.0,499.0,311.0,680.0,0,0.6613948941230774,,person
1493.0,534.0,1577.0,710.0,0,0.6396881341934204,,person
674.0,544.0,748.0,728.0,0,0.6190521717071533,,person
65.0,823.0,190.0,1001.0,0,0.6174874305725098,,person
1814.0,603.0,1909.0,784.0,0,0.6140193343162537,,person
927.0,205.0,984.0,345.0,0,0.6046729683876038,,person
1143.0,439.0,1210.0,575.0,0,0.5539608001708984,,person
673.0,546.0,746.0,720.0,0,0.4422205686569214,,person
702.0,186.0,757.0,323.0,0,0.40656742453575134,,person
1112.0,810.0,1204.0,996.0,0,0.7791498899459839,,person
70.0,824.0,190.0,1002.0,0,0.7340686917304993,,person
673.0,538.0,747.0,729.0,0,0.6807153224945068,,person
1313.0,710.0,1424.0,878.0,0,0.6783633828163147,,person
1805.0,598.0,1900.0,777.0,0,0.6752467751502991,,person
754.0,375.0,815.0,528.0,0,0.6593297719955444,,person
233.0,505.0,308.0,690.0,0,0.6048327684402466,,person
927.0,208.0,984.0,345.0,0,0.5774458050727844,,person
702.0,182.0,757.0,317.0,0,0.5744115710258484,,person
1142.0,436.0,1212.0,575.0,0,0.4814688265323639,,person
88.0,124.0,139.0,243.0,0,0.40130120515823364,,person
1109.0,805.0,1205.0,993.0,0,0.8007948398590088,,person
1801.0,594.0,1897.0,777.0,0,0.7456055283546448,,person
72.0,825.0,190.0,1002.0,0,0.7329089641571045,,person
754.0,373.0,816.0,524.0,0,0.6995377540588379,,person
1314.0,708.0,1422.0,877.0,0,0.6880604028701782,,person
673.0,535.0,746.0,726.0,0,0.6387765407562256,,person
927.0,209.0,984.0,344.0,0,0.6359961628913879,,person
1495.0,544.0,1579.0,728.0,0,0.6098761558532715,,person
704.0,182.0,756.0,315.0,0,0.5970653891563416,,person
673.0,536.0,744.0,706.0,0,0.559850811958313,,person
1484.0,393.0,1558.0,558.0,0,0.5169681906700134,,person
233.0,509.0,308.0,692.0,0,0.45963022112846375,,person
1142.0,433.0,1211.0,576.0,0,0.44775763154029846,,person
565.0,316.0,635.0,447.0,0,0.4450131952762604,,person
87.0,123.0,139.0,244.0,0,0.4213162660598755,,person
1107.0,802.0,1205.0,994.0,0,0.803282618522644,,person
1790.0,591.0,1895.0,778.0,0,0.77089524269104,,person
73.0,826.0,189.0,1002.0,0,0.7240109443664551,,person
756.0,372.0,816.0,524.0,0,0.7187066078186035,,person
1314.0,708.0,1419.0,877.0,0,0.6565197706222534,,person
927.0,209.0,984.0,345.0,0,0.6478519439697266,,person
673.0,532.0,746.0,721.0,0,0.6362705230712891,,person
231.0,514.0,306.0,696.0,0,0.5783618688583374,,person
704.0,178.0,754.0,313.0,0,0.5625942945480347,,person
673.0,534.0,744.0,700.0,0,0.5454398989677429,,person
1495.0,548.0,1580.0,732.0,0,0.5415312647819519,,person
1143.0,431.0,1212.0,576.0,0,0.539534330368042,,person
1487.0,393.0,1559.0,559.0,0,0.5074462294578552,,person
87.0,122.0,139.0,244.0,0,0.4295894503593445,,person
565.0,323.0,637.0,448.0,0,0.4161493182182312,,person
1106.0,799.0,1204.0,993.0,0,0.7935984134674072,,person
1783.0,588.0,1892.0,778.0,0,0.778484046459198,,person
756.0,367.0,816.0,520.0,0,0.7571731805801392,,person
674.0,528.0,747.0,721.0,0,0.709694504737854,,person
75.0,827.0,188.0,1002.0,0,0.6835785508155823,,person
703.0,173.0,754.0,311.0,0,0.6655776500701904,,person
230.0,515.0,305.0,700.0,0,0.6578450202941895,,person
926.0,211.0,984.0,348.0,0,0.6555425524711609,,person
566.0,322.0,638.0,452.0,0,0.5624722242355347,,person
